Date,Day,Status,In Time,Out Time,Total Hours,Total Attendance Hours,Total Time Sheet Hours,Attendance status implying leave debit
22-Jun-14,Sunday,Weekly Off,9:21,11:17,1.93,1.93,NA,NA
23-Jun-14,Monday,Present,9:13,19:19,10.1,10.1,NA,No leave debit
24-Jun-14,Tuesday,Present,8:42,18:31,9.82,9.82,NA,No leave debit
25-Jun-14,Wednesday,Present,7:01,18:45,11.73,11.73,NA,No leave debit
26-Jun-14,Thursday,Present,8:04,18:21,10.28,10.28,NA,No leave debit
27-Jun-14,Friday,Present,8:38,18:42,10.07,10.07,NA,No leave debit
28-Jun-14,Saturday,Weekly Off,9:36,14:27,4.85,4.85,NA,NA
29-Jun-14,Sunday,Weekly Off,8:48,9:56,1.13,1.13,NA,NA
30-Jun-14,Monday,Present,9:31,18:11,8.67,8.67,NA,No leave debit
1-Jul-14,Tuesday,Present,9:02,19:26,10.4,10.4,NA,No leave debit
2-Jul-14,Wednesday,Present,9:00,19:18,10.3,10.3,NA,No leave debit
3-Jul-14,Thursday,Present,9:39,18:40,9.02,9.02,NA,No leave debit
4-Jul-14,Friday,Present,9:23,17:33,8.17,8.17,NA,No leave debit
5-Jul-14,Saturday,Weekly Off,--,--,--,0,NA,NA
6-Jul-14,Sunday,Weekly Off,--,--,--,0,NA,NA
7-Jul-14,Monday,Present,9:37,18:43,9.1,9.1,NA,No leave debit
8-Jul-14,Tuesday,Present,9:28,18:42,9.23,9.23,NA,No leave debit
9-Jul-14,Wednesday,Present,9:36,21:03,11.45,11.45,NA,No leave debit
10-Jul-14,Thursday,Present,8:41,18:29,9.8,9.8,NA,No leave debit
11-Jul-14,Friday,Present,8:47,19:34,10.78,10.78,NA,No leave debit
12-Jul-14,Saturday,Weekly Off,8:02,12:54,4.87,4.87,NA,NA
13-Jul-14,Sunday,Weekly Off,--,--,--,0,NA,NA
14-Jul-14,Monday,Present,9:39,18:39,9,9,NA,No leave debit
15-Jul-14,Tuesday,Present,10:08,18:33,8.42,8.42,NA,No leave debit
16-Jul-14,Wednesday,Present,9:42,18:35,8.88,8.88,NA,No leave debit
17-Jul-14,Thursday,Present,9:36,18:41,9.08,9.08,NA,No leave debit
18-Jul-14,Friday,Present,10:10,20:09,9.98,9.98,NA,No leave debit
19-Jul-14,Saturday,Weekly Off,--,--,--,0,NA,NA
20-Jul-14,Sunday,Weekly Off,--,--,--,0,NA,NA
21-Jul-14,Monday,Present,9:42,19:03,9.35,9.35,NA,No leave debit
22-Jul-14,Tuesday,Present,9:36,18:38,9.03,9.03,NA,No leave debit
23-Jul-14,Wednesday,Present,9:55,19:31,9.6,9.6,NA,No leave debit
24-Jul-14,Thursday,Present,9:34,20:01,10.45,10.45,NA,No leave debit
25-Jul-14,Friday,Present,8:51,13:43,4.87,4.87,NA,No leave debit
26-Jul-14,Saturday,Weekly Off,--,--,--,0,NA,NA
27-Jul-14,Sunday,Weekly Off,--,--,--,0,NA,NA
28-Jul-14,Monday,Earned Leave,--,--,--,0,8:48,NA
29-Jul-14,Tuesday,Holiday,--,--,--,0,8:48,NA
30-Jul-14,Wednesday,Earned Leave,--,--,--,0,8:48,NA
31-Jul-14,Thursday,Earned Leave,--,--,--,0,8:48,NA
1-Aug-14,Friday,Earned Leave,--,--,--,0,8:48,NA
2-Aug-14,Saturday,Weekly Off,--,--,--,0,NA,NA
3-Aug-14,Sunday,Weekly Off,--,--,--,0,NA,NA
4-Aug-14,Monday,Present,13:02,20:16,7.23,7.23,NA,No leave debit
5-Aug-14,Tuesday,Present,9:20,19:23,10.05,10.05,NA,No leave debit
6-Aug-14,Wednesday,Present,9:49,19:02,9.22,9.22,NA,No leave debit
7-Aug-14,Thursday,Present,9:22,19:18,9.93,9.93,NA,No leave debit
8-Aug-14,Friday,Present,9:52,19:10,9.3,9.3,NA,No leave debit
9-Aug-14,Saturday,Weekly Off,--,--,--,0,NA,NA
10-Aug-14,Sunday,Weekly Off,--,--,--,0,NA,NA
11-Aug-14,Monday,Present,9:19,19:10,9.85,9.85,NA,No leave debit
12-Aug-14,Tuesday,Present,9:38,19:11,9.55,9.55,NA,No leave debit
13-Aug-14,Wednesday,Present,9:36,18:27,8.85,8.85,NA,No leave debit
14-Aug-14,Thursday,Present,9:41,19:04,9.38,9.38,NA,No leave debit
15-Aug-14,Friday,Holiday,--,--,--,0,8:48,NA
16-Aug-14,Saturday,Weekly Off,--,--,--,0,NA,NA
17-Aug-14,Sunday,Weekly Off,--,--,--,0,NA,NA
18-Aug-14,Monday,Present,9:28,19:59,10.52,10.52,NA,No leave debit
19-Aug-14,Tuesday,Holiday,--,--,--,0,8:48,NA
20-Aug-14,Wednesday,Present,9:45,19:34,9.82,9.82,NA,No leave debit
21-Aug-14,Thursday,Present,9:47,18:59,9.2,9.2,NA,No leave debit
22-Aug-14,Friday,Present,9:16,19:27,10.18,10.18,NA,No leave debit
23-Aug-14,Saturday,Present,10:01,15:31,5.5,5.5,NA,No leave debit
24-Aug-14,Sunday,Weekly Off,--,--,--,0,NA,NA
25-Aug-14,Monday,Present,9:32,19:41,10.15,10.15,NA,No leave debit
26-Aug-14,Tuesday,Present,9:46,19:29,9.72,9.72,NA,No leave debit
27-Aug-14,Wednesday,Present,10:14,20:06,9.87,9.87,NA,No leave debit
28-Aug-14,Thursday,Present,10:24,18:40,8.27,8.27,NA,No leave debit
29-Aug-14,Friday,Holiday,--,--,--,0,NA,NA
30-Aug-14,Saturday,Weekly Off,--,--,--,0,NA,NA
31-Aug-14,Sunday,Weekly Off,--,--,--,0,NA,NA
1-Sep-14,Monday,Present,9:56,21:07,11.18,11.18,NA,No leave debit
2-Sep-14,Tuesday,Earned Leave,--,--,--,0,8:48,NA
3-Sep-14,Wednesday,Present,9:20,19:52,10.53,10.53,NA,No leave debit
4-Sep-14,Thursday,Present,9:46,19:47,10.02,10.02,NA,No leave debit
5-Sep-14,Friday,Present,9:25,20:16,10.85,10.85,NA,No leave debit
6-Sep-14,Saturday,Weekly Off,--,--,--,0,NA,NA
7-Sep-14,Sunday,Weekly Off,--,--,--,0,NA,NA
8-Sep-14,Monday,Present,9:43,19:45,10.03,10.03,NA,No leave debit
9-Sep-14,Tuesday,Present,9:48,18:12,8.4,8.4,NA,No leave debit
10-Sep-14,Wednesday,Present,8:53,18:58,10.08,10.08,NA,No leave debit
11-Sep-14,Thursday,Present,8:52,17:48,8.93,8.93,NA,No leave debit
12-Sep-14,Friday,Present,8:57,20:00,11.05,11.05,NA,No leave debit
13-Sep-14,Saturday,Weekly Off,--,--,--,0,NA,NA
14-Sep-14,Sunday,Weekly Off,--,--,--,0,NA,NA
15-Sep-14,Monday,Present,9:03,19:06,10.05,10.05,NA,No leave debit
16-Sep-14,Tuesday,Present,9:20,19:58,10.63,10.63,NA,No leave debit
17-Sep-14,Wednesday,Present,8:51,19:27,10.6,10.6,NA,No leave debit
18-Sep-14,Thursday,Present,8:46,19:19,10.55,10.55,NA,No leave debit
19-Sep-14,Friday,Present,9:12,20:41,11.48,11.48,NA,No leave debit
20-Sep-14,Saturday,Weekly Off,--,--,--,0,NA,NA
21-Sep-14,Sunday,Weekly Off,--,--,--,0,NA,NA
22-Sep-14,Monday,Present,8:42,19:01,10.32,10.32,NA,No leave debit
23-Sep-14,Tuesday,Present,9:50,21:17,11.45,11.45,NA,No leave debit
24-Sep-14,Wednesday,Present,8:46,20:53,12.12,12.12,NA,No leave debit
25-Sep-14,Thursday,Present,9:03,21:08,12.08,12.08,NA,No leave debit
26-Sep-14,Friday,Present,9:44,21:48,12.07,12.07,NA,No leave debit
27-Sep-14,Saturday,Weekly Off,--,--,--,0,NA,NA
28-Sep-14,Sunday,Weekly Off,--,--,--,0,NA,NA
29-Sep-14,Monday,Present,9:16,19:37,10.35,10.35,NA,No leave debit
30-Sep-14,Tuesday,Present,9:14,18:49,9.58,9.58,NA,No leave debit
1-Oct-14,Wednesday,Present,9:03,18:33,9.5,9.5,NA,No leave debit
2-Oct-14,Thursday,Holiday,--,--,--,0,8:48,NA
3-Oct-14,Friday,Holiday,--,--,--,0,8:48,NA
4-Oct-14,Saturday,Weekly Off,--,--,--,0,NA,NA
5-Oct-14,Sunday,Weekly Off,--,--,--,0,NA,NA
6-Oct-14,Monday,Present,10:10,17:38,7.47,7.47,NA,No leave debit
7-Oct-14,Tuesday,Present,9:29,18:16,8.78,8.78,NA,No leave debit
8-Oct-14,Wednesday,Present,9:52,18:21,8.48,8.48,NA,No leave debit
9-Oct-14,Thursday,Present,9:35,19:10,9.58,9.58,NA,No leave debit
10-Oct-14,Friday,Present,9:42,19:07,9.42,9.42,NA,No leave debit
11-Oct-14,Saturday,Weekly Off,--,--,--,0,NA,NA
12-Oct-14,Sunday,Weekly Off,--,--,--,0,NA,NA
13-Oct-14,Monday,Present,9:22,18:30,9.13,9.13,NA,No leave debit
14-Oct-14,Tuesday,Present,9:57,19:00,9.05,9.05,NA,No leave debit
15-Oct-14,Wednesday,Present,9:39,18:24,8.75,8.75,NA,No leave debit
16-Oct-14,Thursday,Present,9:50,22:27,12.62,12.62,NA,No leave debit
