time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-06-25T06:17:15.030Z,35.6999,137.6961,10,4.7,mb,,108,0.294,0.89,us,us20009pl9,2017-06-26T03:54:09.732Z,"22km NNW of Iida, Japan",earthquake,5.3,1.8,0.04,191,reviewed,us,us
2017-06-25T03:01:59.150Z,-9.5387,66.1641,10,4.9,mb,,60,10.51,1.24,us,us20009pjx,2017-06-27T17:06:04.040Z,"Mid-Indian Ridge",earthquake,3.8,1.9,0.06,88,reviewed,us,us
2017-06-24T22:02:16.790Z,35.8174,137.6121,10,5.2,mww,,88,0.299,0.98,us,us20009piw,2017-06-27T05:50:20.587Z,"30km W of Ina, Japan",earthquake,6.2,1.8,,,reviewed,us,us
2017-06-24T20:37:06.640Z,17.4728,120.281,55.27,4.8,mb,,61,5.37,0.78,us,us20009pil,2017-06-25T09:30:26.417Z,"11km SW of Fuerte, Philippines",earthquake,8.6,7,0.054,105,reviewed,us,us
2017-06-24T16:09:11.120Z,-15.471,-73.4519,69.05,5.7,mww,,130,4.144,1.01,us,us20009ph9,2017-06-27T03:33:10.040Z,"60km SE of Coracora, Peru",earthquake,8.7,8.6,,,reviewed,us,us
2017-06-24T15:34:09.790Z,0.6253,98.1094,24,4.7,mb,,100,0.859,1.2,us,us20009ph5,2017-06-24T19:50:06.040Z,"144km SSW of Sibolga, Indonesia",earthquake,5.2,5.2,0.077,51,reviewed,us,us
2017-06-24T07:27:07.700Z,-41.2392,80.6425,10,5.2,mb,,57,4.179,0.75,us,us20009pgd,2017-06-27T03:41:11.040Z,"Mid-Indian Ridge",earthquake,7.8,1.5,0.092,39,reviewed,us,us
2017-06-24T05:27:08.140Z,-20.443,169.7251,123.25,4.5,mb,,108,1.89,1.49,us,us20009pg5,2017-06-24T05:49:09.040Z,"109km SSE of Isangel, Vanuatu",earthquake,11.8,8.1,0.113,23,reviewed,us,us
2017-06-24T02:37:18.140Z,-19.4438,34.509,24.44,5.6,mww,,30,7.319,0.69,us,us20009pf9,2017-06-27T20:50:34.368Z,"30km NW of Dondo, Mozambique",earthquake,4.5,3.7,0.069,20,reviewed,us,us
2017-06-24T00:48:14.920Z,6.5774,-82.3829,10,4.7,mb,,143,2.041,0.81,us,us20009pf2,2017-06-24T01:41:03.040Z,"169km SSE of Punta de Burica, Panama",earthquake,6.4,1.8,0.03,339,reviewed,us,us
2017-06-23T21:33:26.470Z,-23.3067,-176.555,60.51,5,mb,,30,6.041,0.78,us,us20009pe4,2017-06-24T03:26:44.040Z,"271km SSW of Vaini, Tonga",earthquake,7.7,5.3,0.03,353,reviewed,us,us
2017-06-23T15:37:15.240Z,-11.343,166.8777,72.37,5.1,mb,,101,7.075,0.93,us,us20009pa2,2017-06-23T15:56:18.040Z,"133km ESE of Lata, Solomon Islands",earthquake,11.4,8.1,0.103,31,reviewed,us,us
2017-06-23T14:34:54.770Z,-7.9806,117.6513,37.53,4.5,mb,,83,3.497,1.08,us,us1000958k,2017-06-30T07:54:11.040Z,"21km NW of Labuhankananga, Indonesia",earthquake,8.7,13.5,0.205,7,reviewed,us,us
2017-06-23T11:55:57.100Z,0.8531,123.2278,53.51,4.6,mb,,56,1.936,0.84,us,us20009p8g,2017-06-23T12:27:24.040Z,"7km SW of Boroko, Indonesia",earthquake,6.8,8.4,0.078,49,reviewed,us,us
2017-06-23T10:00:51.820Z,-39.3495,-71.8536,113.27,5,mwr,,48,0.376,1.03,us,us20009p84,2017-06-24T06:15:04.576Z,"11km SE of Pucon, Chile",earthquake,6.9,4,0.06,27,reviewed,us,us
2017-06-23T04:02:53.760Z,6.5789,-82.3293,10,4.5,mb,,156,2.053,1.25,us,us20009p7e,2017-06-23T04:17:31.040Z,"171km SSE of Punta de Burica, Panama",earthquake,8,1.9,0.063,73,reviewed,us,us
2017-06-23T03:08:13.230Z,13.7374,-91.0916,47.71,4.5,mb,,156,0.977,0.97,us,us20009p75,2017-06-24T23:29:31.064Z,"35km SW of Puerto San Jose, Guatemala",earthquake,7.9,9.5,0.036,223,reviewed,us,us
2017-06-23T00:15:31.910Z,-4.4635,129.4133,21.37,4.9,mb,,45,3.218,0.72,us,us20009p5t,2017-06-23T00:46:00.040Z,"130km SE of Saparua, Indonesia",earthquake,6.4,5.4,0.059,90,reviewed,us,us
2017-06-22T23:59:00.670Z,39.3354,141.7882,40.96,4.5,mwr,,134,1.554,0.82,us,us20009p5s,2017-06-23T00:37:52.040Z,"10km WSW of Otsuchi, Japan",earthquake,5.7,4.9,0.059,28,reviewed,us,us
2017-06-22T22:36:19.480Z,46.2052,152.2655,9.55,5,mb,,73,6.595,0.81,us,us20009p59,2017-06-23T03:47:46.040Z,"Kuril Islands",earthquake,8.7,4.1,0.027,424,reviewed,us,us
2017-06-22T22:25:16.430Z,14.3069,-92.8709,10,4.5,mwr,,124,1.159,0.94,us,us20009p52,2017-06-23T03:29:10.243Z,"66km SW of Puerto Madero, Mexico",earthquake,7.4,1.9,0.098,10,reviewed,us,us
2017-06-22T22:04:35.440Z,32.4684,141.4367,35.44,4.9,mb,,113,1.511,0.58,us,us20009p4w,2017-06-24T22:25:16.413Z,"167km ESE of Hachijo-jima, Japan",earthquake,7.2,6.2,0.035,250,reviewed,us,us
2017-06-22T17:14:36.550Z,-16.9608,-173.6065,130.81,4.9,mb,,72,3.509,1.16,us,us20009p2e,2017-06-22T20:04:43.040Z,"112km S of Hihifo, Tonga",earthquake,8.5,6.7,0.068,69,reviewed,us,us
2017-06-22T14:38:47.260Z,-5.9991,102.3291,16.28,5.2,mb,,183,1.743,0.89,us,us20009p1y,2017-06-22T14:55:32.040Z,"191km SW of Kuripan, Indonesia",earthquake,9.6,6.6,0.105,30,reviewed,us,us
2017-06-22T12:31:04.490Z,13.7527,-90.9488,46.82,6.8,mww,,76,1.054,1.43,us,us20009p1a,2017-06-27T03:44:21.904Z,"23km SW of Puerto San Jose, Guatemala",earthquake,6.2,4.7,,,reviewed,us,us
2017-06-22T09:55:04.700Z,-26.1998,178.6026,624.16,4.8,mb,,57,4.318,1.46,us,us20009p07,2017-06-22T10:12:01.040Z,"South of the Fiji Islands",earthquake,13,9.1,0.121,21,reviewed,us,us
2017-06-22T09:13:18.200Z,34.7972,69.7106,54.9,4.5,mb,,129,3.043,1.34,us,us20009p03,2017-06-23T21:12:20.533Z,"8km SE of Tagab, Afghanistan",earthquake,6.3,8.2,0.08,46,reviewed,us,us
2017-06-22T07:04:15.220Z,-23.3771,179.9051,532.71,4.9,mb,,67,5.866,0.81,us,us20009nzv,2017-06-22T07:22:33.040Z,"South of the Fiji Islands",earthquake,11.3,8.6,0.069,66,reviewed,us,us
2017-06-22T04:10:43.330Z,36.6264,71.2362,194.04,4.9,mb,,44,0.726,1.28,us,us20009nzh,2017-06-23T01:34:16.472Z,"27km WSW of Ashkasham, Afghanistan",earthquake,6.3,5.7,0.047,141,reviewed,us,us
2017-06-22T02:48:53.070Z,38.8077,26.4742,10,4.9,mb,,32,1.661,0.87,us,us20009nz3,2017-06-22T20:52:09.395Z,"18km N of Karaburun, Turkey",earthquake,4.9,1.9,0.046,147,reviewed,us,us
2017-06-22T02:41:55.090Z,45.0909,149.7192,68.07,5.4,mb,,89,5.18,0.97,us,us20009nz2,2017-06-24T17:33:54.004Z,"145km E of Kuril'sk, Russia",earthquake,6.5,5.8,0.025,537,reviewed,us,us
2017-06-21T23:15:03.620Z,12.9635,145.8916,10,4.7,mb,,83,1.174,0.62,us,us20009ny7,2017-06-21T23:36:41.040Z,"125km ESE of Yigo Village, Guam",earthquake,9.4,1.9,0.061,81,reviewed,us,us
2017-06-21T20:53:23.250Z,-10.41,161.32,62.37,5.3,mb,,61,1.661,0.85,us,us20009nxm,2017-06-22T17:24:03.040Z,"65km W of Kirakira, Solomon Islands",earthquake,4.8,6.3,0.041,197,reviewed,us,us
2017-06-21T20:09:06.470Z,18.9255,-155.538,38.12,4.51,ml,54,247,0.1341,0.11,hv,hv61807446,2017-06-27T20:47:38.695Z,"28km ESE of Hawaiian Ocean View, Hawaii",earthquake,0.59,0.72,0.197,49,reviewed,hv,hv
2017-06-21T19:41:09.070Z,38.3959,73.3768,125.13,4.7,mb,,57,1.608,0.76,us,us20009nww,2017-06-22T17:16:31.040Z,"57km WNW of Murghob, Tajikistan",earthquake,6.1,7.3,0.045,149,reviewed,us,us
2017-06-21T19:20:27.490Z,52.1735,179.4115,160,5,mb,,42,0.277,0.91,us,us20009nwi,2017-06-22T13:40:06.040Z,"27km NNW of Semisopochnoi Island, Alaska",earthquake,7.3,5.1,0.027,451,reviewed,us,us
2017-06-21T16:45:00.600Z,-15.0751,-179.1085,420.31,4.6,mb,,97,3.803,0.82,us,us20009nw3,2017-06-29T02:01:54.040Z,"132km SW of Sigave, Wallis and Futuna",earthquake,11.8,6.8,0.04,190,reviewed,us,us
2017-06-21T13:16:40.040Z,11.2838,143.1078,10,4.9,mb,,52,2.865,0.73,us,us20009nvq,2017-06-21T14:02:26.040Z,"277km SW of Merizo Village, Guam",earthquake,9.7,1.8,0.042,177,reviewed,us,us
