"","date","views"
"873",2017-11-19,10091
"874",2017-11-20,7549
"875",2017-11-21,6564
"876",2017-11-22,8806
"877",2017-11-23,15150
"878",2017-11-24,17343
"879",2017-11-25,11630
"880",2017-11-26,13879
"881",2017-11-27,9166
"882",2017-11-28,8053
"883",2017-11-29,8059
"884",2017-11-30,7706
"885",2017-12-01,7897
"886",2017-12-02,9621
"887",2017-12-03,10206
"888",2017-12-04,9378
"889",2017-12-05,8300
"890",2017-12-06,13772
"891",2017-12-07,14906
"892",2017-12-08,8999
"893",2017-12-09,10501
"894",2017-12-10,11312
"895",2017-12-11,8609
"896",2017-12-12,8148
"897",2017-12-13,6985
"898",2017-12-14,7820
"899",2017-12-15,7601
"900",2017-12-16,11278
"901",2017-12-17,10621
"902",2017-12-18,9636
"903",2017-12-19,7365
"904",2017-12-20,7994
"905",2017-12-21,10896
"906",2017-12-22,12192
"907",2017-12-23,10198
"908",2017-12-24,11123
"909",2017-12-25,13724
"910",2017-12-26,18548
"911",2017-12-27,19926
"912",2017-12-28,10394
"913",2017-12-29,9676
"914",2017-12-30,10593
"915",2017-12-31,11198
